,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,attack_time,attack_start,attack_stop,zero_crossing,spec_centroid,pitch
0,,None_f0,486472__tkky__piano-chopped-edited.wav,512,2560,0.0014847321435809135,-884.1817,201.85422,57.2903,20.09179,-13.895931,-15.740253,-12.3266945,-3.6335182,-2.4577942,-1.3189812,-3.067871,-6.6575775,-11.762085,-1.7484638690948486,0.02680272050201893,0.04464852437376976,0.39794921875,469.8913269042969,0.0
1,,None_f0,486472__tkky__piano-chopped-edited.wav,512,2560,0.0014847321435809135,-884.1817,201.85422,57.2903,20.09179,-13.895931,-15.740253,-12.3266945,-3.6335182,-2.4577942,-1.3189812,-3.067871,-6.6575775,-11.762085,-1.7484638690948486,0.02680272050201893,0.04464852437376976,0.39794921875,469.8913269042969,0.0
2,,None_f1,486472__tkky__piano-chopped-edited.wav,2560,27136,0.002437892835587263,-1019.46716,277.9152,125.00256,-3.39151,-47.54434,-31.829628,-10.9229965,-6.6107254,-4.9151535,5.643284,15.581421,12.266018,-1.0328941,-1.6768906116485596,0.0007482992950826883,0.021791383624076843,0.02286783792078495,502.1411437988281,50.0
3,,None_f1,486472__tkky__piano-chopped-edited.wav,2560,27136,0.002437892835587263,-1019.46716,277.9152,125.00256,-3.39151,-47.54434,-31.829628,-10.9229965,-6.6107254,-4.9151535,5.643284,15.581421,12.266018,-1.0328941,-1.6768906116485596,0.0007482992950826883,0.021791383624076843,0.02286783792078495,502.1411437988281,50.0
4,,None_f2,486472__tkky__piano-chopped-edited.wav,27136,51711,0.0025404145320256553,-1051.5088,249.49081,129.20728,17.2117,-35.963757,-36.660667,-21.849983,-14.582176,-10.512657,0.5829735,14.439125,18.370525,9.909546,-1.7338142395019531,0.0025623582769185305,0.02102040871977806,0.01932779885828495,430.4563293457031,69.0
5,,None_f2,486472__tkky__piano-chopped-edited.wav,27136,51711,0.0025404145320256553,-1051.5088,249.49081,129.20728,17.2117,-35.963757,-36.660667,-21.849983,-14.582176,-10.512657,0.5829735,14.439125,18.370525,9.909546,-1.7338142395019531,0.0025623582769185305,0.02102040871977806,0.01932779885828495,430.4563293457031,69.0
6,,None_f3,486472__tkky__piano-chopped-edited.wav,51711,98304,0.0019440949564405422,-1066.7162,230.92407,121.581726,27.733597,-11.304798,-13.788773,-13.534279,-18.469398,-17.130684,-8.084541,-4.198929,-11.186211,-18.348516,-0.6099705696105957,0.0004761904710903764,0.24596372246742249,0.010859766975045204,249.6781005859375,57.0
7,,None_f3,486472__tkky__piano-chopped-edited.wav,51711,98304,0.0019440949564405422,-1066.7162,230.92407,121.581726,27.733597,-11.304798,-13.788773,-13.534279,-18.469398,-17.130684,-8.084541,-4.198929,-11.186211,-18.348516,-0.6099705696105957,0.0004761904710903764,0.24596372246742249,0.010859766975045204,249.6781005859375,57.0
8,,None_f4,486472__tkky__piano-chopped-edited.wav,98304,122368,0.0016890136485404157,-1038.0714,257.65088,120.628174,10.9644165,-21.476818,-7.5071335,0.6985779,-9.4674,-16.487099,-8.125549,2.6958618,0.8211708,-10.871201,-1.5166860818862915,0.005623582750558853,0.036054421216249466,0.014170545153319836,346.6978454589844,43.0
9,,None_f4,486472__tkky__piano-chopped-edited.wav,98304,122368,0.0016890136485404157,-1038.0714,257.65088,120.628174,10.9644165,-21.476818,-7.5071335,0.6985779,-9.4674,-16.487099,-8.125549,2.6958618,0.8211708,-10.871201,-1.5166860818862915,0.005623582750558853,0.036054421216249466,0.014170545153319836,346.6978454589844,43.0
10,,None_f5,486472__tkky__piano-chopped-edited.wav,122368,146944,0.0017413492314517498,-1045.295,253.39078,125.26013,13.362427,-31.937634,-27.927025,-18.62577,-21.80001,-23.644562,-12.017059,3.633728,7.436695,-1.0385094,-1.3380136489868164,0.0035827665124088526,0.04950113222002983,0.0152587890625,361.3057861328125,52.0
11,,None_f5,486472__tkky__piano-chopped-edited.wav,122368,146944,0.0017413492314517498,-1045.295,253.39078,125.26013,13.362427,-31.937634,-27.927025,-18.62577,-21.80001,-23.644562,-12.017059,3.633728,7.436695,-1.0385094,-1.3380136489868164,0.0035827665124088526,0.04950113222002983,0.0152587890625,361.3057861328125,52.0
12,,None_f6,486472__tkky__piano-chopped-edited.wav,146944,171008,0.0013617009241530236,-1056.7777,244.8659,131.55334,27.333939,-20.21696,-19.055847,-6.973961,-7.191002,-13.592583,-11.469009,-0.24087524,8.114124,5.947647,-1.6882702112197876,0.0032426302786916494,0.023741496726870537,0.013380983844399452,322.9490661621094,55.0
13,,None_f6,486472__tkky__piano-chopped-edited.wav,146944,171008,0.0013617009241530236,-1056.7777,244.8659,131.55334,27.333939,-20.21696,-19.055847,-6.973961,-7.191002,-13.592583,-11.469009,-0.24087524,8.114124,5.947647,-1.6882702112197876,0.0032426302786916494,0.023741496726870537,0.013380983844399452,322.9490661621094,55.0
14,,None_f7,486472__tkky__piano-chopped-edited.wav,171008,195072,0.0009362726928071773,-1061.1956,236.49622,119.71686,15.139984,-29.86105,-26.792625,-13.80587,-10.189369,-8.398811,0.6814537,10.562889,9.653355,-1.6709557,-0.26560476422309875,0.0,0.5424943566322327,0.01953125,431.2481994628906,72.0
15,,None_f7,486472__tkky__piano-chopped-edited.wav,171008,195072,0.0009362726928071773,-1061.1956,236.49622,119.71686,15.139984,-29.86105,-26.792625,-13.80587,-10.189369,-8.398811,0.6814537,10.562889,9.653355,-1.6709557,-0.26560476422309875,0.0,0.5424943566322327,0.01953125,431.2481994628906,72.0
16,,None_f8,486472__tkky__piano-chopped-edited.wav,195072,219648,0.0013731295863787334,-1031.2396,263.7279,119.71246,5.733368,-27.428738,-13.504242,-4.9061203,-11.698402,-13.126549,-1.741005,8.082573,6.4533195,0.48415756,-1.4515924453735352,0.0,0.0353514738380909,0.01717122457921505,390.5544738769531,48.0
17,,None_f8,486472__tkky__piano-chopped-edited.wav,195072,219648,0.0013731295863787334,-1031.2396,263.7279,119.71246,5.733368,-27.428738,-13.504242,-4.9061203,-11.698402,-13.126549,-1.741005,8.082573,6.4533195,0.48415756,-1.4515924453735352,0.0,0.0353514738380909,0.01717122457921505,390.5544738769531,48.0
18,,None_f9,486472__tkky__piano-chopped-edited.wav,219648,242688,0.0009570476081636217,-1047.1376,252.72714,128.32898,18.427979,-26.915813,-21.760422,-8.150932,-6.867073,-9.362938,-4.513977,3.5688858,5.2549706,0.5645256,-1.5609359741210938,0.0,0.02748299390077591,0.01627604104578495,363.6170349121094,52.0
19,,None_f9,486472__tkky__piano-chopped-edited.wav,219648,242688,0.0009570476081636217,-1047.1376,252.72714,128.32898,18.427979,-26.915813,-21.760422,-8.150932,-6.867073,-9.362938,-4.513977,3.5688858,5.2549706,0.5645256,-1.5609359741210938,0.0,0.02748299390077591,0.01627604104578495,363.6170349121094,52.0
20,,None_f10,486472__tkky__piano-chopped-edited.wav,242688,290816,0.0013133960359908165,-1058.6652,238.27856,119.61597,17.855347,-21.499172,-15.867203,-4.566002,-2.5916672,-0.83140945,5.596737,7.905754,0.14655685,-10.267807,-1.4995532035827637,0.001700680237263441,0.03335601091384888,0.012030418962240219,299.8794860839844,36.0
21,,None_f10,486472__tkky__piano-chopped-edited.wav,242688,290816,0.0013133960359908165,-1058.6652,238.27856,119.61597,17.855347,-21.499172,-15.867203,-4.566002,-2.5916672,-0.83140945,5.596737,7.905754,0.14655685,-10.267807,-1.4995532035827637,0.001700680237263441,0.03335601091384888,0.012030418962240219,299.8794860839844,36.0
22,,None_f11,486472__tkky__piano-chopped-edited.wav,290816,315392,0.001975178408126036,-1031.7925,265.82108,124.04108,3.5659485,-39.811718,-28.027946,-12.682762,-14.866539,-19.650322,-12.376114,0.43925476,5.9476967,4.1372833,-1.2384096384048462,0.0,0.05775510147213936,0.01615397073328495,377.1628112792969,52.0
23,,None_f11,486472__tkky__piano-chopped-edited.wav,290816,315392,0.001975178408126036,-1031.7925,265.82108,124.04108,3.5659485,-39.811718,-28.027946,-12.682762,-14.866539,-19.650322,-12.376114,0.43925476,5.9476967,4.1372833,-1.2384096384048462,0.0,0.05775510147213936,0.01615397073328495,377.1628112792969,52.0
24,,None_f12,486472__tkky__piano-chopped-edited.wav,315392,339968,0.0019693331172068915,-1045.5607,257.697,135.6966,19.835754,-36.23202,-34.785667,-14.338585,-5.7587357,-10.32032,-13.055206,-6.351425,3.736187,8.786987,-2.0412943363189697,0.000657596392557025,0.009750566445291042,0.01582845114171505,348.5201110839844,65.0
